Captile,City Name,Region,Subregion,population
Kabul,Afghanistan,Asia,Southern Asia,27657145
Mariehamn,Åland Islands,Europe,Northern Europe,28875
Tirana,Albania,Europe,Southern Europe,2886026
Algiers,Algeria,Africa,Northern Africa,40400000
Pago Pago,American Samoa,Oceania,Polynesia,57100
Andorra la Vella,Andorra,Europe,Southern Europe,78014
Luanda,Angola,Africa,Middle Africa,25868000
The Valley,Anguilla,Americas,Caribbean,13452
,Antarctica,Polar,,1000
Saint John's,Antigua and Barbuda,Americas,Caribbean,86295
Buenos Aires,Argentina,Americas,South America,43590400
Yerevan,Armenia,Asia,Western Asia,2994400
Oranjestad,Aruba,Americas,Caribbean,107394
Canberra,Australia,Oceania,Australia and New Zealand,24117360
Vienna,Austria,Europe,Western Europe,8725931
Baku,Azerbaijan,Asia,Western Asia,9730500
Nassau,Bahamas,Americas,Caribbean,378040
Manama,Bahrain,Asia,Western Asia,1404900
Dhaka,Bangladesh,Asia,Southern Asia,161006790
Bridgetown,Barbados,Americas,Caribbean,285000
Minsk,Belarus,Europe,Eastern Europe,9498700
Brussels,Belgium,Europe,Western Europe,11319511
Belmopan,Belize,Americas,Central America,370300
Porto-Novo,Benin,Africa,Western Africa,10653654
Hamilton,Bermuda,Americas,Northern America,61954
Thimphu,Bhutan,Asia,Southern Asia,775620
Sucre,Bolivia (Plurinational State of),Americas,South America,10985059
Kralendijk,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,17408
Sarajevo,Bosnia and Herzegovina,Europe,Southern Europe,3531159
Gaborone,Botswana,Africa,Southern Africa,2141206
,Bouvet Island,,,0
Brasília,Brazil,Americas,South America,206135893
Diego Garcia,British Indian Ocean Territory,Africa,Eastern Africa,3000
,United States Minor Outlying Islands,Americas,Northern America,300
Road Town,Virgin Islands (British),Americas,Caribbean,28514
Charlotte Amalie,Virgin Islands (U.S.),Americas,Caribbean,114743
Bandar Seri Begawan,Brunei Darussalam,Asia,South-Eastern Asia,411900
Sofia,Bulgaria,Europe,Eastern Europe,7153784
Ouagadougou,Burkina Faso,Africa,Western Africa,19034397
Bujumbura,Burundi,Africa,Eastern Africa,10114505
Phnom Penh,Cambodia,Asia,South-Eastern Asia,15626444
Yaoundé,Cameroon,Africa,Middle Africa,22709892
Ottawa,Canada,Americas,Northern America,36155487
Praia,Cabo Verde,Africa,Western Africa,531239
George Town,Cayman Islands,Americas,Caribbean,58238
Bangui,Central African Republic,Africa,Middle Africa,4998000
N'Djamena,Chad,Africa,Middle Africa,14497000
Santiago,Chile,Americas,South America,18191900
Beijing,China,Asia,Eastern Asia,1377422166
Flying Fish Cove,Christmas Island,Oceania,Australia and New Zealand,2072
West Island,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,550
Bogotá,Colombia,Americas,South America,48759958
Moroni,Comoros,Africa,Eastern Africa,806153
Brazzaville,Congo,Africa,Middle Africa,4741000
Kinshasa,Congo (Democratic Republic of the),Africa,Middle Africa,85026000
Avarua,Cook Islands,Oceania,Polynesia,18100
San José,Costa Rica,Americas,Central America,4890379
Zagreb,Croatia,Europe,Southern Europe,4190669
Havana,Cuba,Americas,Caribbean,11239004
Willemstad,Curaçao,Americas,Caribbean,154843
Nicosia,Cyprus,Europe,Southern Europe,847000
Prague,Czech Republic,Europe,Eastern Europe,10558524
Copenhagen,Denmark,Europe,Northern Europe,5717014
Djibouti,Djibouti,Africa,Eastern Africa,900000
Roseau,Dominica,Americas,Caribbean,71293
Santo Domingo,Dominican Republic,Americas,Caribbean,10075045
Quito,Ecuador,Americas,South America,16545799
Cairo,Egypt,Africa,Northern Africa,91290000
San Salvador,El Salvador,Americas,Central America,6520675
Malabo,Equatorial Guinea,Africa,Middle Africa,1222442
Asmara,Eritrea,Africa,Eastern Africa,5352000
Tallinn,Estonia,Europe,Northern Europe,1315944
Addis Ababa,Ethiopia,Africa,Eastern Africa,92206005
Stanley,Falkland Islands (Malvinas),Americas,South America,2563
Tórshavn,Faroe Islands,Europe,Northern Europe,49376
Suva,Fiji,Oceania,Melanesia,867000
Helsinki,Finland,Europe,Northern Europe,5491817
Paris,France,Europe,Western Europe,66710000
Cayenne,French Guiana,Americas,South America,254541
Papeetē,French Polynesia,Oceania,Polynesia,271800
Port-aux-Français,French Southern Territories,Africa,Southern Africa,140
Libreville,Gabon,Africa,Middle Africa,1802278
Banjul,Gambia,Africa,Western Africa,1882450
Tbilisi,Georgia,Asia,Western Asia,3720400
Berlin,Germany,Europe,Western Europe,81770900
Accra,Ghana,Africa,Western Africa,27670174
Gibraltar,Gibraltar,Europe,Southern Europe,33140
Athens,Greece,Europe,Southern Europe,10858018
Nuuk,Greenland,Americas,Northern America,55847
St. George's,Grenada,Americas,Caribbean,103328
Basse-Terre,Guadeloupe,Americas,Caribbean,400132
Hagåtña,Guam,Oceania,Micronesia,184200
Guatemala City,Guatemala,Americas,Central America,16176133
St. Peter Port,Guernsey,Europe,Northern Europe,62999
Conakry,Guinea,Africa,Western Africa,12947000
Bissau,Guinea-Bissau,Africa,Western Africa,1547777
Georgetown,Guyana,Americas,South America,746900
Port-au-Prince,Haiti,Americas,Caribbean,11078033
,Heard Island and McDonald Islands,,,0
Rome,Holy See,Europe,Southern Europe,451
Tegucigalpa,Honduras,Americas,Central America,8576532
City of Victoria,Hong Kong,Asia,Eastern Asia,7324300
Budapest,Hungary,Europe,Eastern Europe,9823000
Reykjavík,Iceland,Europe,Northern Europe,334300
New Delhi,India,Asia,Southern Asia,1295210000
Jakarta,Indonesia,Asia,South-Eastern Asia,258705000
Yamoussoukro,Côte d'Ivoire,Africa,Western Africa,22671331
Tehran,Iran (Islamic Republic of),Asia,Southern Asia,79369900
Baghdad,Iraq,Asia,Western Asia,37883543
Dublin,Ireland,Europe,Northern Europe,6378000
Douglas,Isle of Man,Europe,Northern Europe,84497
Jerusalem,Israel,Asia,Western Asia,8527400
Rome,Italy,Europe,Southern Europe,60665551
Kingston,Jamaica,Americas,Caribbean,2723246
Tokyo,Japan,Asia,Eastern Asia,126960000
Saint Helier,Jersey,Europe,Northern Europe,100800
Amman,Jordan,Asia,Western Asia,9531712
Astana,Kazakhstan,Asia,Central Asia,17753200
Nairobi,Kenya,Africa,Eastern Africa,47251000
South Tarawa,Kiribati,Oceania,Micronesia,113400
Kuwait City,Kuwait,Asia,Western Asia,4183658
Bishkek,Kyrgyzstan,Asia,Central Asia,6047800
Vientiane,Lao People's Democratic Republic,Asia,South-Eastern Asia,6492400
Riga,Latvia,Europe,Northern Europe,1961600
Beirut,Lebanon,Asia,Western Asia,5988000
Maseru,Lesotho,Africa,Southern Africa,1894194
Monrovia,Liberia,Africa,Western Africa,4615000
Tripoli,Libya,Africa,Northern Africa,6385000
Vaduz,Liechtenstein,Europe,Western Europe,37623
Vilnius,Lithuania,Europe,Northern Europe,2872294
Luxembourg,Luxembourg,Europe,Western Europe,576200
,Macao,Asia,Eastern Asia,649100
Skopje,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,2058539
Antananarivo,Madagascar,Africa,Eastern Africa,22434363
Lilongwe,Malawi,Africa,Eastern Africa,16832910
Kuala Lumpur,Malaysia,Asia,South-Eastern Asia,31405416
Malé,Maldives,Asia,Southern Asia,344023
Bamako,Mali,Africa,Western Africa,18135000
Valletta,Malta,Europe,Southern Europe,425384
Majuro,Marshall Islands,Oceania,Micronesia,54880
Fort-de-France,Martinique,Americas,Caribbean,378243
Nouakchott,Mauritania,Africa,Western Africa,3718678
Port Louis,Mauritius,Africa,Eastern Africa,1262879
Mamoudzou,Mayotte,Africa,Eastern Africa,226915
Mexico City,Mexico,Americas,Central America,122273473
Palikir,Micronesia (Federated States of),Oceania,Micronesia,102800
Chișinău,Moldova (Republic of),Europe,Eastern Europe,3553100
Monaco,Monaco,Europe,Western Europe,38400
Ulan Bator,Mongolia,Asia,Eastern Asia,3093100
Podgorica,Montenegro,Europe,Southern Europe,621810
Plymouth,Montserrat,Americas,Caribbean,4922
Rabat,Morocco,Africa,Northern Africa,33337529
Maputo,Mozambique,Africa,Eastern Africa,26423700
Naypyidaw,Myanmar,Asia,South-Eastern Asia,51419420
Windhoek,Namibia,Africa,Southern Africa,2324388
Yaren,Nauru,Oceania,Micronesia,10084
Kathmandu,Nepal,Asia,Southern Asia,28431500
Amsterdam,Netherlands,Europe,Western Europe,17019800
Nouméa,New Caledonia,Oceania,Melanesia,268767
Wellington,New Zealand,Oceania,Australia and New Zealand,4697854
Managua,Nicaragua,Americas,Central America,6262703
Niamey,Niger,Africa,Western Africa,20715000
Abuja,Nigeria,Africa,Western Africa,186988000
Alofi,Niue,Oceania,Polynesia,1470
Kingston,Norfolk Island,Oceania,Australia and New Zealand,2302
Pyongyang,Korea (Democratic People's Republic of),Asia,Eastern Asia,25281000
Saipan,Northern Mariana Islands,Oceania,Micronesia,56940
Oslo,Norway,Europe,Northern Europe,5223256
Muscat,Oman,Asia,Western Asia,4420133
Islamabad,Pakistan,Asia,Southern Asia,194125062
Ngerulmud,Palau,Oceania,Micronesia,17950
Ramallah,"Palestine, State of",Asia,Western Asia,4682467
Panama City,Panama,Americas,Central America,3814672
Port Moresby,Papua New Guinea,Oceania,Melanesia,8083700
Asunción,Paraguay,Americas,South America,6854536
Lima,Peru,Americas,South America,31488700
Manila,Philippines,Asia,South-Eastern Asia,103279800
Adamstown,Pitcairn,Oceania,Polynesia,56
Warsaw,Poland,Europe,Eastern Europe,38437239
Lisbon,Portugal,Europe,Southern Europe,10374822
San Juan,Puerto Rico,Americas,Caribbean,3474182
Doha,Qatar,Asia,Western Asia,2587564
Pristina,Republic of Kosovo,Europe,Eastern Europe,1733842
Saint-Denis,Réunion,Africa,Eastern Africa,840974
Bucharest,Romania,Europe,Eastern Europe,19861408
Moscow,Russian Federation,Europe,Eastern Europe,146599183
Kigali,Rwanda,Africa,Eastern Africa,11553188
Gustavia,Saint Barthélemy,Americas,Caribbean,9417
Jamestown,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,4255
Basseterre,Saint Kitts and Nevis,Americas,Caribbean,46204
Castries,Saint Lucia,Americas,Caribbean,186000
Marigot,Saint Martin (French part),Americas,Caribbean,36979
Saint-Pierre,Saint Pierre and Miquelon,Americas,Northern America,6069
Kingstown,Saint Vincent and the Grenadines,Americas,Caribbean,109991
Apia,Samoa,Oceania,Polynesia,194899
City of San Marino,San Marino,Europe,Southern Europe,33005
São Tomé,Sao Tome and Principe,Africa,Middle Africa,187356
Riyadh,Saudi Arabia,Asia,Western Asia,32248200
Dakar,Senegal,Africa,Western Africa,14799859
Belgrade,Serbia,Europe,Southern Europe,7076372
Victoria,Seychelles,Africa,Eastern Africa,91400
Freetown,Sierra Leone,Africa,Western Africa,7075641
Singapore,Singapore,Asia,South-Eastern Asia,5535000
Philipsburg,Sint Maarten (Dutch part),Americas,Caribbean,38247
Bratislava,Slovakia,Europe,Eastern Europe,5426252
Ljubljana,Slovenia,Europe,Southern Europe,2064188
Honiara,Solomon Islands,Oceania,Melanesia,642000
Mogadishu,Somalia,Africa,Eastern Africa,11079000
Pretoria,South Africa,Africa,Southern Africa,55653654
King Edward Point,South Georgia and the South Sandwich Islands,Americas,South America,30
Seoul,Korea (Republic of),Asia,Eastern Asia,50801405
Juba,South Sudan,Africa,Middle Africa,12131000
Madrid,Spain,Europe,Southern Europe,46438422
Colombo,Sri Lanka,Asia,Southern Asia,20966000
Khartoum,Sudan,Africa,Northern Africa,39598700
Paramaribo,Suriname,Americas,South America,541638
Longyearbyen,Svalbard and Jan Mayen,Europe,Northern Europe,2562
Lobamba,Swaziland,Africa,Southern Africa,1132657
Stockholm,Sweden,Europe,Northern Europe,9894888
Bern,Switzerland,Europe,Western Europe,8341600
Damascus,Syrian Arab Republic,Asia,Western Asia,18564000
Taipei,Taiwan,Asia,Eastern Asia,23503349
Dushanbe,Tajikistan,Asia,Central Asia,8593600
Dodoma,"Tanzania, United Republic of",Africa,Eastern Africa,55155000
Bangkok,Thailand,Asia,South-Eastern Asia,65327652
Dili,Timor-Leste,Asia,South-Eastern Asia,1167242
Lomé,Togo,Africa,Western Africa,7143000
Fakaofo,Tokelau,Oceania,Polynesia,1411
Nuku'alofa,Tonga,Oceania,Polynesia,103252
Port of Spain,Trinidad and Tobago,Americas,Caribbean,1349667
Tunis,Tunisia,Africa,Northern Africa,11154400
Ankara,Turkey,Asia,Western Asia,78741053
Ashgabat,Turkmenistan,Asia,Central Asia,4751120
Cockburn Town,Turks and Caicos Islands,Americas,Caribbean,31458
Funafuti,Tuvalu,Oceania,Polynesia,10640
Kampala,Uganda,Africa,Eastern Africa,33860700
Kiev,Ukraine,Europe,Eastern Europe,42692393
Abu Dhabi,United Arab Emirates,Asia,Western Asia,9856000
London,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,65110000
"Washington, D.C.",United States of America,Americas,Northern America,323947000
Montevideo,Uruguay,Americas,South America,3480222
Tashkent,Uzbekistan,Asia,Central Asia,31576400
Port Vila,Vanuatu,Oceania,Melanesia,277500
Caracas,Venezuela (Bolivarian Republic of),Americas,South America,31028700
Hanoi,Viet Nam,Asia,South-Eastern Asia,92700000
Mata-Utu,Wallis and Futuna,Oceania,Polynesia,11750
El Aaiún,Western Sahara,Africa,Northern Africa,510713
Sana'a,Yemen,Asia,Western Asia,27478000
Lusaka,Zambia,Africa,Eastern Africa,15933883
Harare,Zimbabwe,Africa,Eastern Africa,14240168
